name	x	y	z	size	material	manufacturer	group	hemisphere	silicon
T01	-47.1557197570801	-3.77689242362976	-36.951343536377	4.2	Platinum	AdTech	grid	L	no
T02	-50.2511024475098	-6.61387157440186	-33.026912689209	4.2	Platinum	AdTech	grid	L	no
T03	-56.0570793151855	-12.4054260253906	-27.9126396179199	4.2	Platinum	AdTech	grid	L	no
T04	-60.3674926757812	-22.6038818359375	-22.4284648895264	4.2	Platinum	AdTech	grid	L	no
T05	-54.9148063659668	-28.3237972259521	-21.6078624725342	4.2	Platinum	AdTech	grid	L	no
T06	-56.0162773132324	-33.8710060119629	-24.0990734100342	4.2	Platinum	AdTech	grid	L	no
T07	-60.6690292358398	-46.4741439819336	-17.6809749603271	4.2	Platinum	AdTech	grid	L	no
T08	-64.1772308349609	-53.5861434936523	-3.08084082603455	4.2	Platinum	AdTech	grid	L	no
T09	-49.3516464233398	1.59484052658081	-36.7729759216309	4.2	Platinum	AdTech	grid	L	no
T10	-54.2626762390137	-3.49506497383118	-34.4969711303711	4.2	Platinum	AdTech	grid	L	no
T11	-63.0342788696289	-11.9255857467651	-24.5323543548584	4.2	Platinum	AdTech	grid	L	no
T12	-66.7458267211914	-19.3563404083252	-17.8073253631592	4.2	Platinum	AdTech	grid	L	no
T13	-68.37255859375	-26.992467880249	-14.9012498855591	4.2	Platinum	AdTech	grid	L	no
T14	-66.3265380859375	-37.1923599243164	-12.579909324646	4.2	Platinum	AdTech	grid	L	no
T15	-66.1354522705078	-44.3506011962891	-1.96551096439362	4.2	Platinum	AdTech	grid	L	no
T16	-65.7115097045898	-44.6201972961426	11.5616817474365	4.2	Platinum	AdTech	grid	L	no
T17	-48.4613838195801	16.3726234436035	-26.6595058441162	4.2	Platinum	AdTech	grid	L	no
T18	-51.815502166748	14.1780700683594	-20.2551689147949	4.2	Platinum	AdTech	grid	L	no
T19	-63.5600280761719	-12.0583524703979	-17.8141117095947	4.2	Platinum	AdTech	grid	L	no
T20	-63.0340995788574	-14.1626987457275	-15.0401048660278	4.2	Platinum	AdTech	grid	L	no
T21	-67.0243530273438	-19.2215023040771	-0.200316220521927	4.2	Platinum	AdTech	grid	L	no
