name	x	y	z	size	material	manufacturer	group	hemisphere	silicon
sT1	-17.467586517334	-33.5911903381348	-16.5377292633057	4.2	Platinum	AdTech	strip	L	no
sT2	-30.145263671875	-42.056713104248	-24.4527416229248	4.2	Platinum	AdTech	strip	L	no
sT3	-37.4965896606445	-38.3143692016602	-26.8929195404053	4.2	Platinum	AdTech	strip	L	no
sT4	-50.769603729248	-39.9433135986328	-30.0651035308838	4.2	Platinum	AdTech	strip	L	no
sT5	-56.5527877807617	-36.6373672485352	-23.7052440643311	4.2	Platinum	AdTech	strip	L	no
sT6	-55.0422248840332	-35.7443809509277	-19.1061401367188	4.2	Platinum	AdTech	strip	L	no
sT7	-59.7831192016602	-30.2555904388428	-19.0941753387451	4.2	Platinum	AdTech	strip	L	no
sT8	-67.4480209350586	-23.5813598632812	-11.638162612915	4.2	Platinum	AdTech	strip	L	yes
D1	-33.4204940795898	-26.38840675354	9.38586235046387	4.2	Platinum	Dixi	depth	L	no
D2	-33.6926727294922	-26.2262535095215	8.21171092987061	4.2	Platinum	Dixi	depth	L	no
D3	-33.7194747924805	-24.855640411377	6.70643758773804	4.2	Platinum	Dixi	depth	L	no
D4	-40.0626907348633	-22.2536449432373	7.84677028656006	4.2	Platinum	Dixi	depth	L	no
D5	-46.4169692993164	-26.2012596130371	10.5702857971191	4.2	Platinum	Dixi	depth	L	no
D6	-48.6458892822266	-24.6194934844971	9.40156269073486	4.2	Platinum	Dixi	depth	L	no
D7	-51.4675788879395	-24.630199432373	18.9984874725342	4.2	Platinum	Dixi	depth	L	no
D8	-53.7420043945312	-25.1703433990479	17.0901279449463	4.2	Platinum	Dixi	depth	L	no
xx1	n/a	n/a	n/a	n/a	n/a	n/a	other	n/a	no
xx2	n/a	n/a	n/a	n/a	n/a	n/a	other	n/a	no
xx3	n/a	n/a	n/a	n/a	n/a	n/a	other	n/a	no
xx4	n/a	n/a	n/a	n/a	n/a	n/a	other	n/a	no
xx5	n/a	n/a	n/a	n/a	n/a	n/a	other	n/a	no
xx6	n/a	n/a	n/a	n/a	n/a	n/a	other	n/a	no
xx7	n/a	n/a	n/a	n/a	n/a	n/a	other	n/a	no
xx8	n/a	n/a	n/a	n/a	n/a	n/a	other	n/a	no
AH+	n/a	n/a	n/a	n/a	n/a	n/a	other	n/a	no
ECG+	n/a	n/a	n/a	n/a	n/a	n/a	other	n/a	no
ORB+	n/a	n/a	n/a	n/a	n/a	n/a	other	n/a	no
EMG+	n/a	n/a	n/a	n/a	n/a	n/a	other	n/a	no
x1	n/a	n/a	n/a	n/a	n/a	n/a	other	n/a	no
x2	n/a	n/a	n/a	n/a	n/a	n/a	other	n/a	no
x3	n/a	n/a	n/a	n/a	n/a	n/a	other	n/a	no
x4	n/a	n/a	n/a	n/a	n/a	n/a	other	n/a	no
TL01	-53.9638557434082	11.7541170120239	-18.078670501709	4.2	Platinum	AdTech	grid	L	no
TL02	-64.0431365966797	-11.9947080612183	-18.4801788330078	4.2	Platinum	AdTech	grid	L	no
TL03	-66.4700012207031	-16.453197479248	-16.907787322998	4.2	Platinum	AdTech	grid	L	no
TL04	-67.3116683959961	-20.1780281066895	-0.0618025586009026	4.2	Platinum	AdTech	grid	L	no
TL05	-68.5104141235352	-29.2977962493896	5.7401876449585	4.2	Platinum	AdTech	grid	L	no
TL06	-66.5187835693359	-43.2167625427246	12.3161697387695	4.2	Platinum	AdTech	grid	L	no
TL07	-62.9868774414062	-48.8109169006348	21.4454288482666	4.2	Platinum	AdTech	grid	L	no
TL08	-62.0782356262207	-52.9107551574707	26.1621284484863	4.2	Platinum	AdTech	grid	L	no
TL09	-49.6213493347168	8.38436031341553	-30.5053291320801	4.2	Platinum	AdTech	grid	L	no
TL10	-61.6225280761719	-11.4207134246826	-26.4088439941406	4.2	Platinum	AdTech	grid	L	no
TL11	-61.0168952941895	-22.1877784729004	-22.0990409851074	4.2	Platinum	AdTech	grid	L	no
TL12	-67.0233535766602	-24.0314025878906	-18.1442108154297	4.2	Platinum	AdTech	grid	L	no
TL13	-68.3847198486328	-27.8193855285645	-14.5239963531494	4.2	Platinum	AdTech	grid	L	no
TL14	-64.4119110107422	-48.0366706848145	13.0643033981323	4.2	Platinum	AdTech	grid	L	no
TL15	-63.7962760925293	-51.4150772094727	17.1611518859863	4.2	Platinum	AdTech	grid	L	no
TL16	-60.4671630859375	-53.9457893371582	19.6711845397949	4.2	Platinum	AdTech	grid	L	no
TH01	-56.1229629516602	13.5824489593506	16.3488636016846	4.2	Platinum	AdTech	grid	L	no
TH02	-61.2154541015625	5.31425857543945	12.5838956832886	4.2	Platinum	AdTech	grid	L	no
TH03	-64.8689270019531	-7.60141897201538	22.4197483062744	4.2	Platinum	AdTech	grid	L	no
TH04	-65.8620452880859	-11.254337310791	25.3041496276855	4.2	Platinum	AdTech	grid	L	no
TH05	-62.3835830688477	-35.7433700561523	34.5004806518555	4.2	Platinum	AdTech	grid	L	no
TH06	-60.0576553344727	-39.6467361450195	38.8937492370605	4.2	Platinum	AdTech	grid	L	no
TH07	-58.2139282226562	-44.2354049682617	44.4892616271973	4.2	Platinum	AdTech	grid	L	no
TH08	-52.6856269836426	-47.7314414978027	48.4181137084961	4.2	Platinum	AdTech	grid	L	no
TH09	-57.8105697631836	6.8702507019043	4.06138515472412	4.2	Platinum	AdTech	grid	L	no
TH10	-65.2706604003906	-10.3757572174072	10.6199436187744	4.2	Platinum	AdTech	grid	L	no
TH11	-66.1306381225586	-14.0081729888916	13.9695072174072	4.2	Platinum	AdTech	grid	L	no
TH12	-68.2101898193359	-32.1880722045898	7.24794483184814	4.2	Platinum	AdTech	grid	L	no
TH13	-67.3449325561523	-40.0993003845215	11.7618503570557	4.2	Platinum	AdTech	grid	L	no
TH14	-58.1195259094238	-44.491870880127	28.6682949066162	4.2	Platinum	AdTech	grid	L	no
TH15	-59.9889602661133	-51.0027885437012	33.3432922363281	4.2	Platinum	AdTech	grid	L	no
TH16	-51.6673965454102	-57.94580078125	36.8490982055664	4.2	Platinum	AdTech	grid	L	no
thor+	n/a	n/a	n/a	n/a	n/a	n/a	other	n/a	no
abdo+	n/a	n/a	n/a	n/a	n/a	n/a	other	n/a	no
xyz+	n/a	n/a	n/a	n/a	n/a	n/a	other	n/a	no
MKR+	n/a	n/a	n/a	n/a	n/a	n/a	other	n/a	no
