name	x	y	z	size	material	manufacturer	group	hemisphere	silicon
F01	-39.4227104187012	44.5124092102051	17.2980785369873	4.2	Platinum	AdTech	grid	L	no
F02	-43.9341659545898	40.7620315551758	20.4942874908447	4.2	Platinum	AdTech	grid	L	no
F03	-43.3891181945801	31.8621978759766	31.7709693908691	4.2	Platinum	AdTech	grid	L	no
F04	-51.1332092285156	21.0470199584961	21.2986946105957	4.2	Platinum	AdTech	grid	L	no
F05	-50.4960174560547	2.95631074905396	44.6461524963379	4.2	Platinum	AdTech	grid	L	no
F06	-54.2885551452637	-1.58092701435089	47.6958312988281	4.2	Platinum	AdTech	grid	L	no
F07	-58.8241882324219	-17.5785846710205	43.7247352600098	4.2	Platinum	AdTech	grid	L	no
F08	-56.13916015625	-17.1177406311035	50.3411445617676	4.2	Platinum	AdTech	grid	L	no
F09	-37.7855415344238	40.8666191101074	12.3047361373901	4.2	Platinum	AdTech	grid	L	no
F10	-48.8116989135742	33.1748657226562	10.723256111145	4.2	Platinum	AdTech	grid	L	no
F11	-54.3269958496094	26.581600189209	11.8340015411377	4.2	Platinum	AdTech	grid	L	no
F12	-55.4650268554688	17.7382392883301	22.1841907501221	4.2	Platinum	AdTech	grid	L	no
F13	-60.6550178527832	5.73154926300049	29.8454341888428	4.2	Platinum	AdTech	grid	L	no
F14	-59.3832473754883	-0.631476283073425	37.0885200500488	4.2	Platinum	AdTech	grid	L	no
F15	-60.7264785766602	-12.4474544525146	39.4192886352539	4.2	Platinum	AdTech	grid	L	no
F16	-55.9341506958008	-30.0317440032959	40.2593154907227	4.2	Platinum	AdTech	grid	L	no
F17	-51.7197647094727	35.1679191589355	-0.24379625916481	4.2	Platinum	AdTech	grid	L	no
F18	-54.1633186340332	28.8873043060303	2.3917293548584	4.2	Platinum	AdTech	grid	L	no
F19	-54.5455551147461	26.0171394348145	4.15438938140869	4.2	Platinum	AdTech	grid	L	no
F20	-61.3249130249023	6.96262836456299	17.0746383666992	4.2	Platinum	AdTech	grid	L	no
F21	-62.293384552002	1.38402426242828	17.2150039672852	4.2	Platinum	AdTech	grid	L	no
F22	-60.7014541625977	-7.33529186248779	15.9803791046143	4.2	Platinum	AdTech	grid	L	no
F23	-63.2990837097168	-7.38176727294922	29.6988315582275	4.2	Platinum	AdTech	grid	L	no
F24	-62.2399978637695	-29.2846736907959	37.2793884277344	4.2	Platinum	AdTech	grid	L	no
F25	-46.8675193786621	43.4400825500488	-13.0646238327026	4.2	Platinum	AdTech	grid	L	no
F26	-50.5485763549805	36.8335151672363	-11.0485868453979	4.2	Platinum	AdTech	grid	L	no
