name	x	y	z	size	material	manufacturer	group	hemisphere	silicon
IH01	-6.77147054672241	-46.5692443847656	57.0149917602539	4.2	Platinum	AdTech	grid	L	no
IH02	-3.2361900806427	-35.1833610534668	57.304443359375	4.2	Platinum	AdTech	grid	L	no
IH03	-2.1984555721283	-19.5495491027832	51.8503112792969	4.2	Platinum	AdTech	grid	L	no
IH04	-1.9431426525116	-13.3776683807373	51.3203811645508	4.2	Platinum	AdTech	grid	L	no
IH05	-4.320481300354	1.93695139884949	59.5649642944336	4.2	Platinum	AdTech	grid	L	no
IH06	-4.32774114608765	9.78218078613281	56.4290657043457	4.2	Platinum	AdTech	grid	L	no
IH07	-4.34073638916016	16.8928833007812	57.1705436706543	4.2	Platinum	AdTech	grid	L	no
IH08	-3.59045457839966	25.8467922210693	54.4577751159668	4.2	Platinum	AdTech	grid	L	no
IH09	-4.80695152282715	-47.6506729125977	49.6974792480469	4.2	Platinum	AdTech	grid	L	no
IH10	-3.85861825942993	-32.6073913574219	44.5929489135742	4.2	Platinum	AdTech	grid	L	no
IH11	-2.83954644203186	-27.4733734130859	41.7351188659668	4.2	Platinum	AdTech	grid	L	no
IH12	-1.22044742107391	-9.5699291229248	39.0104675292969	4.2	Platinum	AdTech	grid	L	no
IH13	-7.47169876098633	-2.89042258262634	45.8037719726562	4.2	Platinum	AdTech	grid	L	no
IH14	-7.93121242523193	2.09083771705627	45.125732421875	4.2	Platinum	AdTech	grid	L	no
IH15	-9.16619777679443	14.0987119674683	41.0075721740723	4.2	Platinum	AdTech	grid	L	no
IH16	-4.71973133087158	34.3037261962891	44.9142074584961	4.2	Platinum	AdTech	grid	L	no
P01	-27.1014709472656	-67.2258758544922	40.3361129760742	4.2	Platinum	AdTech	grid	L	no
P02	-28.8758335113525	-63.2191390991211	44.9133377075195	4.2	Platinum	AdTech	grid	L	no
P03	-26.4063911437988	-61.1824836730957	48.8012771606445	4.2	Platinum	AdTech	grid	L	no
P04	-20.7167701721191	-51.5152702331543	60.4022331237793	4.2	Platinum	AdTech	grid	L	no
P05	-15.055534362793	-78.8857192993164	44.535270690918	4.2	Platinum	AdTech	grid	L	no
P06	-16.6045188903809	-68.2364959716797	52.8589363098145	4.2	Platinum	AdTech	grid	L	no
P07	-20.76149559021	-66.9679565429688	55.1336250305176	4.2	Platinum	AdTech	grid	L	no
P08	-16.3699207305908	-53.4660720825195	65.3591384887695	4.2	Platinum	AdTech	grid	L	no
AH+	n/a	n/a	n/a	n/a	n/a	n/a	other	n/a	no
ECG+	n/a	n/a	n/a	n/a	n/a	n/a	other	n/a	no
orb+	n/a	n/a	n/a	n/a	n/a	n/a	other	n/a	no
emg+	n/a	n/a	n/a	n/a	n/a	n/a	other	n/a	no
ECG1+	n/a	n/a	n/a	n/a	n/a	n/a	other	n/a	no
ECG2+	n/a	n/a	n/a	n/a	n/a	n/a	other	n/a	no
elA31	n/a	n/a	n/a	n/a	n/a	n/a	other	n/a	no
elA32	n/a	n/a	n/a	n/a	n/a	n/a	other	n/a	no
C01	-49.1137084960938	-45.9779968261719	47.0932846069336	4.2	Platinum	AdTech	grid	L	no
C02	-45.4802055358887	-40.4789733886719	43.8377304077148	4.2	Platinum	AdTech	grid	L	no
C03	-50.2732200622559	-22.6783638000488	60.0779037475586	4.2	Platinum	AdTech	grid	L	no
C04	-43.208324432373	-13.4159088134766	62.6603775024414	4.2	Platinum	AdTech	grid	L	no
C05	-44.5584411621094	-9.0073184967041	58.6964416503906	4.2	Platinum	AdTech	grid	L	no
C06	-45.2604522705078	4.8818531036377	47.7300148010254	4.2	Platinum	AdTech	grid	L	no
C07	-41.6323852539062	24.3760204315186	40.2336769104004	4.2	Platinum	AdTech	grid	L	no
C08	-38.9068450927734	26.2452907562256	38.8869743347168	4.2	Platinum	AdTech	grid	L	no
C09	-35.9201507568359	-46.8477096557617	61.1122856140137	4.2	Platinum	AdTech	grid	L	no
C10	-33.191032409668	-38.9838562011719	54.3288764953613	4.2	Platinum	AdTech	grid	L	no
C11	-44.1424026489258	-30.1097679138184	64.4546585083008	4.2	Platinum	AdTech	grid	L	no
C12	-37.2696189880371	-13.7709331512451	67.65185546875	4.2	Platinum	AdTech	grid	L	no
C13	-41.509162902832	4.07468414306641	54.1736221313477	4.2	Platinum	AdTech	grid	L	no
C14	-42.3856163024902	5.3760404586792	49.2323532104492	4.2	Platinum	AdTech	grid	L	no
C15	-31.4056282043457	18.1030082702637	48.5808906555176	4.2	Platinum	AdTech	grid	L	no
C16	-27.2853584289551	16.7524814605713	41.9995956420898	4.2	Platinum	AdTech	grid	L	no
C17	-23.5072803497314	-47.3858375549316	59.8090209960938	4.2	Platinum	AdTech	grid	L	no
C18	-21.9571056365967	-42.6297187805176	59.8341903686523	4.2	Platinum	AdTech	grid	L	no
C19	-36.6646537780762	-32.8767700195312	68.8021621704102	4.2	Platinum	AdTech	grid	L	no
C20	-29.7254543304443	-17.9722805023193	72.587272644043	4.2	Platinum	AdTech	grid	L	no
C21	-37.3207588195801	5.6166524887085	58.9612350463867	4.2	Platinum	AdTech	grid	L	no
C22	-36.5185089111328	10.6696376800537	58.6601867675781	4.2	Platinum	AdTech	grid	L	no
C23	-31.3450107574463	12.3341360092163	51.3769950866699	4.2	Platinum	AdTech	grid	L	no
C24	-26.7731533050537	12.74924659729	45.6340255737305	4.2	Platinum	AdTech	grid	L	no
C25	-19.8024272918701	-49.5646820068359	60.7776374816895	4.2	Platinum	AdTech	grid	L	no
C26	-17.6977500915527	-35.9843063354492	73.4460067749023	4.2	Platinum	AdTech	grid	L	no
C27	-20.9856090545654	-20.2625484466553	74.5052947998047	4.2	Platinum	AdTech	grid	L	no
C28	-22.6927242279053	-16.2917289733887	70.0946273803711	4.2	Platinum	AdTech	grid	L	no
C29	-19.6883907318115	-0.370956480503082	71.262809753418	4.2	Platinum	AdTech	grid	L	no
C30	-15.9048023223877	9.01216602325439	64.6882629394531	4.2	Platinum	AdTech	grid	L	no
C31	-13.596697807312	14.1089954376221	61.547679901123	4.2	Platinum	AdTech	grid	L	no
C32	-10.774787902832	24.9171314239502	61.0952835083008	4.2	Platinum	AdTech	grid	L	no
thor+	n/a	n/a	n/a	n/a	n/a	n/a	other	n/a	no
abdo+	n/a	n/a	n/a	n/a	n/a	n/a	other	n/a	no
xyz+	n/a	n/a	n/a	n/a	n/a	n/a	other	n/a	no
MKR+	n/a	n/a	n/a	n/a	n/a	n/a	other	n/a	no
