name	x	y	z	size	material	manufacturer	group	hemisphere	silicon
LC1	57.9382133483887	-2.24298691749573	41.6816711425781	4.2	Platinum	AdTech	grid	R	no
LC2	60.5465927124023	-15.1710910797119	35.2609252929688	4.2	Platinum	AdTech	grid	R	no
LC3	54.0874938964844	-23.3187408447266	37.7059059143066	4.2	Platinum	AdTech	grid	R	no
LC4	59.0043258666992	-43.3699951171875	27.7642459869385	4.2	Platinum	AdTech	grid	R	no
LC5	55.0507926940918	-3.16646480560303	47.9678726196289	4.2	Platinum	AdTech	grid	R	no
LC6	55.5565414428711	-18.7863368988037	41.7843894958496	4.2	Platinum	AdTech	grid	R	no
LC7	53.6802253723145	-28.3148651123047	44.7709846496582	4.2	Platinum	AdTech	grid	R	no
LC8	58.3080635070801	-38.7034301757812	44.6359405517578	4.2	Platinum	AdTech	grid	R	no
T3	n/a	n/a	n/a	n/a	n/a	n/a	other	n/a	no
C3	n/a	n/a	n/a	n/a	n/a	n/a	other	n/a	no
Cz	n/a	n/a	n/a	n/a	n/a	n/a	other	n/a	no
C4	n/a	n/a	n/a	n/a	n/a	n/a	other	n/a	no
T4	n/a	n/a	n/a	n/a	n/a	n/a	other	n/a	no
T5	n/a	n/a	n/a	n/a	n/a	n/a	other	n/a	no
P3	n/a	n/a	n/a	n/a	n/a	n/a	other	n/a	no
Pz	n/a	n/a	n/a	n/a	n/a	n/a	other	n/a	no
P4	n/a	n/a	n/a	n/a	n/a	n/a	other	n/a	no
T6	n/a	n/a	n/a	n/a	n/a	n/a	other	n/a	no
O1	n/a	n/a	n/a	n/a	n/a	n/a	other	n/a	no
Oz	n/a	n/a	n/a	n/a	n/a	n/a	other	n/a	no
O2	n/a	n/a	n/a	n/a	n/a	n/a	other	n/a	no
elA22	n/a	n/a	n/a	n/a	n/a	n/a	other	n/a	no
elA23	n/a	n/a	n/a	n/a	n/a	n/a	other	n/a	no
elA24	n/a	n/a	n/a	n/a	n/a	n/a	other	n/a	no
AH+	n/a	n/a	n/a	n/a	n/a	n/a	other	n/a	no
ECG+	n/a	n/a	n/a	n/a	n/a	n/a	other	n/a	no
orb+	n/a	n/a	n/a	n/a	n/a	n/a	other	n/a	no
emg1+	n/a	n/a	n/a	n/a	n/a	n/a	other	n/a	no
elA29	n/a	n/a	n/a	n/a	n/a	n/a	other	n/a	no
elA30	n/a	n/a	n/a	n/a	n/a	n/a	other	n/a	no
elA31	n/a	n/a	n/a	n/a	n/a	n/a	other	n/a	no
elA32	n/a	n/a	n/a	n/a	n/a	n/a	other	n/a	no
C01	41.9264640808105	4.18019771575928	53.7062606811523	4.2	Platinum	AdTech	grid	R	no
C02	54.9335861206055	-17.4334449768066	52.922435760498	4.2	Platinum	AdTech	grid	R	no
C03	51.4735946655273	-21.7679061889648	56.9033203125	4.2	Platinum	AdTech	grid	R	no
C04	54.4336013793945	-35.1448059082031	50.5513381958008	4.2	Platinum	AdTech	grid	R	no
C05	51.8442764282227	-41.4237327575684	46.3272399902344	4.2	Platinum	AdTech	grid	R	no
C06	51.9737129211426	-48.6071434020996	41.3508911132812	4.2	Platinum	AdTech	grid	R	no
C07	23.4021263122559	-58.182243347168	54.449878692627	4.2	Platinum	AdTech	grid	R	no
C08	37.9361038208008	-79.4227142333984	37.0962257385254	4.2	Platinum	AdTech	grid	R	no
C09	25.9312953948975	1.40207326412201	64.6222381591797	4.2	Platinum	AdTech	grid	R	no
C10	39.6670455932617	-9.6534366607666	64.6535415649414	4.2	Platinum	AdTech	grid	R	no
C11	36.4045639038086	-16.4192676544189	68.8059463500977	4.2	Platinum	AdTech	grid	R	no
C12	37.3685455322266	-31.3398857116699	68.7125473022461	4.2	Platinum	AdTech	grid	R	no
C13	35.148796081543	-45.177116394043	64.8659057617188	4.2	Platinum	AdTech	grid	R	no
C14	30.392370223999	-56.6823425292969	62.805736541748	4.2	Platinum	AdTech	grid	R	no
C15	20.1971263885498	-61.2295150756836	54.3125495910645	4.2	Platinum	AdTech	grid	R	no
C16	21.5869007110596	-60.7226066589355	51.7066268920898	4.2	Platinum	AdTech	grid	R	no
C17	20.8958988189697	5.53759479522705	66.7872161865234	4.2	Platinum	AdTech	grid	R	no
C18	21.369930267334	-8.3996639251709	60.2139587402344	4.2	Platinum	AdTech	grid	R	no
C19	28.4184055328369	-14.2285671234131	71.311279296875	4.2	Platinum	AdTech	grid	R	no
C20	29.8171577453613	-30.5087471008301	71.6126556396484	4.2	Platinum	AdTech	grid	R	no
C21	27.7992210388184	-45.5227890014648	66.1876602172852	4.2	Platinum	AdTech	grid	R	no
C22	27.507532119751	-49.8462219238281	65.5424575805664	4.2	Platinum	AdTech	grid	R	no
C23	12.6203813552856	-72.9201507568359	54.9587936401367	4.2	Platinum	AdTech	grid	R	no
C24	15.6112461090088	-73.5877380371094	51.530517578125	4.2	Platinum	AdTech	grid	R	no
C25	8.52744770050049	6.98182678222656	69.733268737793	4.2	Platinum	AdTech	grid	R	no
C26	7.84134387969971	-10.9986038208008	72.1535720825195	4.2	Platinum	AdTech	grid	R	no
C27	15.5130434036255	-20.9900093078613	75.2801055908203	4.2	Platinum	AdTech	grid	R	no
C28	19.1453514099121	-33.7220077514648	74.0311431884766	4.2	Platinum	AdTech	grid	R	no
C29	15.5258941650391	-43.3304557800293	76.7658843994141	4.2	Platinum	AdTech	grid	R	no
C30	12.163423538208	-51.3363418579102	72.7537841796875	4.2	Platinum	AdTech	grid	R	no
C31	5.54058647155762	-71.9090957641602	51.8755722045898	4.2	Platinum	AdTech	grid	R	no
