name	x	y	z	size	material	manufacturer	group	hemisphere	silicon
C01	45.8834762573242	-16.0999946594238	17.1689968109131	4.2	Platinum	AdTech	grid	R	no
C02	47.5810508728027	-29.724328994751	21.204662322998	4.2	Platinum	AdTech	grid	R	no
C03	54.066089630127	-36.0374870300293	24.2601718902588	4.2	Platinum	AdTech	grid	R	no
C04	66.3608245849609	-38.3779296875	19.4659881591797	4.2	Platinum	AdTech	grid	R	no
C05	54.9930191040039	-50.9944839477539	25.7395725250244	4.2	Platinum	AdTech	grid	R	no
C06	45.1939468383789	-53.7277946472168	23.7962818145752	4.2	Platinum	AdTech	grid	R	no
C07	48.8540725708008	-58.1140670776367	25.602466583252	4.2	Platinum	AdTech	grid	R	no
C08	50.2497749328613	-65.1860580444336	23.8973121643066	4.2	Platinum	AdTech	grid	R	no
C09	63.008171081543	5.85076713562012	15.97447681427	4.2	Platinum	AdTech	grid	R	no
C10	63.8417663574219	-18.8483085632324	24.5918579101562	4.2	Platinum	AdTech	grid	R	no
C11	58.2099227905273	-18.587703704834	31.9794006347656	4.2	Platinum	AdTech	grid	R	no
C12	55.8887214660645	-18.5531806945801	42.4916458129883	4.2	Platinum	AdTech	grid	R	no
C13	57.414722442627	-53.7882308959961	36.3735466003418	4.2	Platinum	AdTech	grid	R	no
C14	49.8428001403809	-55.2898750305176	34.2561187744141	4.2	Platinum	AdTech	grid	R	no
C15	49.3141403198242	-59.029468536377	35.6176567077637	4.2	Platinum	AdTech	grid	R	no
C16	45.3011054992676	-65.7100372314453	32.5241813659668	4.2	Platinum	AdTech	grid	R	no
C17	53.621467590332	8.10336494445801	24.48512840271	4.2	Platinum	AdTech	grid	R	no
C18	54.1818923950195	2.6334171295166	36.6230278015137	4.2	Platinum	AdTech	grid	R	no
C19	55.6816215515137	-5.10704278945923	44.3345794677734	4.2	Platinum	AdTech	grid	R	no
C20	54.7772102355957	-16.482572555542	53.0883598327637	4.2	Platinum	AdTech	grid	R	no
C21	53.047607421875	-51.6954765319824	44.5035209655762	4.2	Platinum	AdTech	grid	R	no
C22	52.0418930053711	-55.4755744934082	46.1138534545898	4.2	Platinum	AdTech	grid	R	no
C23	50.516185760498	-57.5166854858398	47.4422225952148	4.2	Platinum	AdTech	grid	R	no
C24	41.1188621520996	-69.8718414306641	45.7679176330566	4.2	Platinum	AdTech	grid	R	no
C25	39.8760833740234	10.2721996307373	40.8254585266113	4.2	Platinum	AdTech	grid	R	no
C26	46.034538269043	2.64459347724915	40.4488754272461	4.2	Platinum	AdTech	grid	R	no
C27	44.7831153869629	-8.80747318267822	56.2390556335449	4.2	Platinum	AdTech	grid	R	no
C28	45.9680938720703	-21.1047859191895	61.8858528137207	4.2	Platinum	AdTech	grid	R	no
C29	45.6547317504883	-32.3359222412109	56.0111923217773	4.2	Platinum	AdTech	grid	R	no
C30	38.0007553100586	-36.8336143493652	57.5400390625	4.2	Platinum	AdTech	grid	R	no
C31	39.2949905395508	-46.1766319274902	58.5870742797852	4.2	Platinum	AdTech	grid	R	no
C32	35.7276191711426	-68.1153717041016	49.2351493835449	4.2	Platinum	AdTech	grid	R	no
C33	44.7580680847168	16.5770854949951	47.854362487793	4.2	Platinum	AdTech	grid	R	no
C34	42.9770088195801	12.1591577529907	52.9714584350586	4.2	Platinum	AdTech	grid	R	no
C35	42.9266357421875	-12.1958360671997	61.3661994934082	4.2	Platinum	AdTech	grid	R	no
C36	42.1345748901367	-26.0769805908203	64.3488159179688	4.2	Platinum	AdTech	grid	R	no
C37	37.1837463378906	-34.9192123413086	67.2200393676758	4.2	Platinum	AdTech	grid	R	no
C38	33.763011932373	-36.9585990905762	61.8643684387207	4.2	Platinum	AdTech	grid	R	no
C39	37.1521987915039	-44.5694274902344	62.1953125	4.2	Platinum	AdTech	grid	R	no
C40	31.804141998291	-48.9483871459961	67.0730133056641	4.2	Platinum	AdTech	grid	R	no
C41	39.0775756835938	21.5388565063477	50.541130065918	4.2	Platinum	AdTech	grid	R	no
C42	37.6064682006836	15.7108278274536	54.7877082824707	4.2	Platinum	AdTech	grid	R	no
C43	36.9171295166016	-13.7604932785034	67.7160797119141	4.2	Platinum	AdTech	grid	R	no
C44	29.0402793884277	-21.5860424041748	70.2704620361328	4.2	Platinum	AdTech	grid	R	no
C45	31.697774887085	-30.8173732757568	71.0823516845703	4.2	Platinum	AdTech	grid	R	no
C46	26.5900268554688	-35.2223014831543	68.3007354736328	4.2	Platinum	AdTech	grid	R	no
C47	20.0789699554443	-41.9861335754395	63.917594909668	4.2	Platinum	AdTech	grid	R	no
C48	22.9649295806885	-50.1885452270508	62.289436340332	4.2	Platinum	AdTech	grid	R	no
IHc1	4.40941143035889	-23.1006450653076	55.9732284545898	4.2	Platinum	AdTech	strip	R	no
IHc2	1.35821616649628	-28.64892578125	67.4113235473633	4.2	Platinum	AdTech	strip	R	no
IHc3	6.6757926940918	-23.0381126403809	76.4849014282227	4.2	Platinum	AdTech	strip	R	no
IHc4	18.8198661804199	-29.364688873291	73.0892486572266	4.2	Platinum	AdTech	strip	R	no
IHc5	2.51829409599304	-35.2235107421875	57.1593017578125	4.2	Platinum	AdTech	strip	R	no
IHc6	1.11342740058899	-35.2956619262695	65.8324966430664	4.2	Platinum	AdTech	strip	R	no
IHc7	5.66825199127197	-36.177360534668	77.0556182861328	4.2	Platinum	AdTech	strip	R	no
IHc8	17.527042388916	-35.7325057983398	71.8334426879883	4.2	Platinum	AdTech	strip	R	no
IH1	9.31730937957764	-88.2868881225586	1.18814980983734	4.2	Platinum	AdTech	strip	R	no
IH2	14.5038585662842	-83.8367004394531	5.22775745391846	4.2	Platinum	AdTech	strip	R	no
IH3	4.63767719268799	-76.4630966186523	10.3378582000732	4.2	Platinum	AdTech	strip	R	no
