name	x	y	z	size	material	manufacturer	group	hemisphere	silicon
vT1	-18.5443305969238	-14.0783786773682	-23.7336120605469	4.2	Platinum	AdTech	strip	L	no
vT2	-19.6083202362061	-6.14773988723755	-28.0120639801025	4.2	Platinum	AdTech	strip	L	no
vT3	-21.7248954772949	4.53356075286865	-43.2878608703613	4.2	Platinum	AdTech	strip	L	no
vT4	-24.5638294219971	9.7355899810791	-44.2093124389648	4.2	Platinum	AdTech	strip	L	no
vT5	-30.8053379058838	16.0532188415527	-41.8513526916504	4.2	Platinum	AdTech	strip	L	no
vT6	-37.5364112854004	19.295337677002	-37.7932281494141	4.2	Platinum	AdTech	strip	L	no
vT7	-45.7494506835938	11.9343509674072	-34.477897644043	4.2	Platinum	AdTech	strip	L	no
vT8	-51.7095756530762	6.15300846099854	-28.8456535339355	4.2	Platinum	AdTech	strip	L	yes
sT1	-19.4060001373291	-25.2368869781494	-20.0039577484131	4.2	Platinum	AdTech	strip	L	no
sT2	-21.6015663146973	-26.3631591796875	-27.6477546691895	4.2	Platinum	AdTech	strip	L	no
sT3	-30.9872798919678	-23.8554859161377	-30.2352695465088	4.2	Platinum	AdTech	strip	L	no
sT4	-45.1872444152832	-23.6564636230469	-30.2796783447266	4.2	Platinum	AdTech	strip	L	no
sT5	-57.0498237609863	-24.9255104064941	-33.6782302856445	4.2	Platinum	AdTech	strip	L	no
sT6	-56.3062629699707	-22.5586757659912	-29.0891609191895	4.2	Platinum	AdTech	strip	L	no
sT7	-59.4402351379395	-14.518669128418	-26.5813026428223	4.2	Platinum	AdTech	strip	L	yes
sT8	-60.8931503295898	-5.97839641571045	-20.789888381958	4.2	Platinum	AdTech	strip	L	yes
D1	-21.9677600860596	-36.9647254943848	1.17639172077179	4.2	Platinum	AdTech	depth	L	no
D2	-25.4687557220459	-34.9962272644043	-3.95855450630188	4.2	Platinum	AdTech	depth	L	no
D3	-35.6238784790039	-24.3373756408691	2.72092962265015	4.2	Platinum	AdTech	depth	L	no
D4	-35.8620376586914	-23.7860298156738	2.37615275382996	4.2	Platinum	AdTech	depth	L	no
D5	-38.7610359191895	-20.2808418273926	-0.811189532279968	4.2	Platinum	AdTech	depth	L	no
D6	-40.1457633972168	-13.5843811035156	-1.08374917507172	4.2	Platinum	AdTech	depth	L	no
D7	-40.0876579284668	-10.6774063110352	-2.62945127487183	4.2	Platinum	AdTech	depth	L	yes
D8	-41.1326484680176	-8.06667137145996	-1.9487167596817	4.2	Platinum	AdTech	depth	L	yes
ECG+	n/a	n/a	n/a	n/a	n/a	n/a	other	n/a	no
AH+	n/a	n/a	n/a	n/a	n/a	n/a	other	n/a	no
ORB+	n/a	n/a	n/a	n/a	n/a	n/a	other	n/a	no
emg+	n/a	n/a	n/a	n/a	n/a	n/a	other	n/a	no
T01	-53.0553817749023	30.6984062194824	-1.83540880680084	4.2	Platinum	AdTech	grid	L	no
T02	-60.2553176879883	3.62389373779297	5.55855751037598	4.2	Platinum	AdTech	grid	L	no
T03	-65.1850433349609	-8.83384704589844	11.9823417663574	4.2	Platinum	AdTech	grid	L	no
T04	-65.4991607666016	-14.9696655273438	13.2660903930664	4.2	Platinum	AdTech	grid	L	no
T05	-61.0077133178711	-24.2328758239746	20.137228012085	4.2	Platinum	AdTech	grid	L	no
T06	-66.0215835571289	-30.5096492767334	24.2157764434814	4.2	Platinum	AdTech	grid	L	no
T07	-58.044750213623	-37.2052726745605	30.7481384277344	4.2	Platinum	AdTech	grid	L	no
T08	-62.5852546691895	-51.4496269226074	28.1418151855469	4.2	Platinum	AdTech	grid	L	no
T09	-53.555778503418	12.0807600021362	-19.0132942199707	4.2	Platinum	AdTech	grid	L	no
T10	-57.9352912902832	6.70432376861572	-12.1056699752808	4.2	Platinum	AdTech	grid	L	no
T11	-61.823844909668	-6.23508310317993	6.95506286621094	4.2	Platinum	AdTech	grid	L	no
T12	-60.1414794921875	-23.5254688262939	-5.06195211410522	4.2	Platinum	AdTech	grid	L	no
T13	-67.0413970947266	-26.9266262054443	-1.52516138553619	4.2	Platinum	AdTech	grid	L	no
T14	-68.1427001953125	-32.5848159790039	9.11329460144043	4.2	Platinum	AdTech	grid	L	no
T15	-66.370246887207	-38.9187393188477	14.1990528106689	4.2	Platinum	AdTech	grid	L	no
T16	-62.9842720031738	-50.688850402832	23.3289890289307	4.2	Platinum	AdTech	grid	L	no
T17	-52.2014846801758	11.1549835205078	-23.503002166748	4.2	Platinum	AdTech	grid	L	no
T18	-63.4476013183594	-10.6672897338867	-23.2438850402832	4.2	Platinum	AdTech	grid	L	no
T19	-64.1422729492188	-13.5967302322388	-15.9887561798096	4.2	Platinum	AdTech	grid	L	no
T20	-50.5419921875	-26.1198787689209	-6.73825073242188	4.2	Platinum	AdTech	grid	L	no
T21	-55.9309883117676	-34.2038383483887	-1.75568389892578	4.2	Platinum	AdTech	grid	L	no
T22	-66.0986938476562	-37.0018920898438	4.62935447692871	4.2	Platinum	AdTech	grid	L	no
T23	-60.9858512878418	-57.618537902832	7.03657054901123	4.2	Platinum	AdTech	grid	L	no
T24	-64.5952911376953	-49.2260818481445	15.0749359130859	4.2	Platinum	AdTech	grid	L	no
T25	-61.1490898132324	-3.00599431991577	-28.0002708435059	4.2	Platinum	AdTech	grid	L	no
T26	-63.1430435180664	-13.3881959915161	-24.6296730041504	4.2	Platinum	AdTech	grid	L	no
T27	-65.8613662719727	-15.5222015380859	-18.4655246734619	4.2	Platinum	AdTech	grid	L	no
T28	-52.3808212280273	-30.7412052154541	-8.58334445953369	4.2	Platinum	AdTech	grid	L	no
T29	-61.0279541015625	-39.0535774230957	-5.24738264083862	4.2	Platinum	AdTech	grid	L	no
T30	-66.0521697998047	-49.5726127624512	-0.983203291893005	4.2	Platinum	AdTech	grid	L	no
T31	-57.4051895141602	-54.9876937866211	-5.99960994720459	4.2	Platinum	AdTech	grid	L	no
T32	-49.7833595275879	-61.7865371704102	2.5132851600647	4.2	Platinum	AdTech	grid	L	no
thor+	n/a	n/a	n/a	n/a	n/a	n/a	other	n/a	no
abdo+	n/a	n/a	n/a	n/a	n/a	n/a	other	n/a	no
xyz+	n/a	n/a	n/a	n/a	n/a	n/a	other	n/a	no
MKR+	n/a	n/a	n/a	n/a	n/a	n/a	other	n/a	no
